Initialization,Activation,Hidden Layers,Cost,Computation Time
normal,relu,1,0.4661495117182969,0.43129611015319824
normal,relu,2,0.37600217708375966,0.6820452213287354
normal,relu,3,0.1666764373767553,1.234745740890503
normal,relu,1,0.4510933475910093,0.36764001846313477
normal,relu,2,0.29951071615789143,0.6763160228729248
normal,relu,3,0.29467667793177427,1.0870559215545654
normal,sigmoid,1,0.5758406142591439,0.6516919136047363
normal,sigmoid,2,0.5859128380838156,1.4287121295928955
normal,sigmoid,3,0.41828293575136355,2.2471227645874023
normal,sigmoid,1,0.5352123737097354,0.5493478775024414
normal,sigmoid,2,0.48834191958733697,1.2784209251403809
normal,sigmoid,3,0.6051441422142789,2.1196131706237793
normal,tanh,1,0.49399920300179967,0.6054708957672119
normal,tanh,2,0.2257513396930978,1.503113031387329
normal,tanh,3,0.0922941840150611,2.3631627559661865
normal,tanh,1,0.4649383018443409,0.6012191772460938
normal,tanh,2,0.08224369871416072,1.466296911239624
normal,tanh,3,0.11545734682247122,2.371289014816284
normal,linear,1,0.8562921510521437,0.18194007873535156
normal,linear,2,0.8562920970548934,0.529987096786499
normal,linear,3,0.8562922059331995,0.7969388961791992
normal,linear,1,0.8562922711412143,0.17960906028747559
normal,linear,2,0.8562919779677644,0.516045093536377
normal,linear,3,0.8562938372837584,0.8355951309204102
normal,leaky_relu,1,0.5227030889631628,0.21159815788269043
normal,leaky_relu,2,0.2287048125508399,0.5848507881164551
normal,leaky_relu,3,0.20493430097455775,1.0505590438842773
normal,leaky_relu,1,0.42271304009206095,0.21707582473754883
normal,leaky_relu,2,0.2638298304163515,0.5939342975616455
normal,leaky_relu,3,0.1471037992448584,0.9595966339111328
uniform_xavier,relu,1,0.410789493703894,0.22995710372924805
uniform_xavier,relu,2,0.07836450262153355,0.6926190853118896
uniform_xavier,relu,3,0.0367643966506903,0.9684717655181885
uniform_xavier,relu,1,0.3859237043985863,0.22527408599853516
uniform_xavier,relu,2,0.07100657242883494,0.6400518417358398
uniform_xavier,relu,3,0.04226483630383406,1.0250167846679688
uniform_xavier,sigmoid,1,0.6116455922969742,0.5488109588623047
uniform_xavier,sigmoid,2,0.5876920881371789,1.6625721454620361
uniform_xavier,sigmoid,3,0.7256301221134939,2.041299819946289
uniform_xavier,sigmoid,1,0.6575564631456956,0.5370380878448486
uniform_xavier,sigmoid,2,0.6039692587843344,1.479970932006836
uniform_xavier,sigmoid,3,0.3733757481669282,2.095885992050171
uniform_xavier,tanh,1,0.5140455643450698,0.6946461200714111
uniform_xavier,tanh,2,0.285836891054326,1.4351699352264404
uniform_xavier,tanh,3,0.29761453677913563,2.2040069103240967
uniform_xavier,tanh,1,0.4959800795746524,0.5662150382995605
uniform_xavier,tanh,2,0.10704363616389705,1.3945238590240479
uniform_xavier,tanh,3,0.10761028516242291,2.175935983657837
uniform_xavier,linear,1,0.8562920533867023,0.1809680461883545
uniform_xavier,linear,2,0.8562920485730899,0.5229899883270264
uniform_xavier,linear,3,0.8562921735211392,0.818321943283081
uniform_xavier,linear,1,0.8562920969361739,0.17293524742126465
uniform_xavier,linear,2,0.8562920568515802,0.5572559833526611
uniform_xavier,linear,3,0.8562919721127898,0.8161330223083496
uniform_xavier,leaky_relu,1,0.3871540599250617,0.2197399139404297
uniform_xavier,leaky_relu,2,0.2967024467773282,0.5913851261138916
uniform_xavier,leaky_relu,3,0.05530325164852673,0.924901008605957
uniform_xavier,leaky_relu,1,0.428182463233116,0.21467876434326172
uniform_xavier,leaky_relu,2,0.09530856322933821,0.5945742130279541
uniform_xavier,leaky_relu,3,0.05825157123137316,0.9155278205871582
he,relu,1,0.4153438442083177,0.21711373329162598
he,relu,2,0.07759235445517075,0.5972001552581787
he,relu,3,0.2292556488497437,0.9506740570068359
he,relu,1,0.47832719782376354,0.21233630180358887
he,relu,2,0.47202595519728563,0.5691447257995605
he,relu,3,0.08911272145910408,1.3985650539398193
he,sigmoid,1,0.542035338002175,0.6212506294250488
he,sigmoid,2,0.4872404506270261,1.3661072254180908
he,sigmoid,3,0.405325945055288,1.98732590675354
